Sample	Series	Platform	Speak	Breakpoint_CNA	Breakpoint_CBS	Spread	Label
GSM255198	GSE10099	GPL2005	4.62837297651954	29	70	0.284061233365776	1
GSM255199	GSE10099	GPL2005	3.26366683107339	11	29	0.242063598220119	1
GSM255200	GSE10099	GPL2005	4.74583103219709	41	82	0.270603275134818	1
GSM255212	GSE10099	GPL2005	8.25917054535293	20	25	0.250565170310733	1
GSM255213	GSE10099	GPL2005	4.83646723720782	23	61	0.26225416635148	1
GSM255218	GSE10099	GPL2005	5.38272736884508	24	51	0.310984253465479	1
GSM255219	GSE10099	GPL2005	4.26281999932855	22	83	0.223389186810602	1
GSM255221	GSE10099	GPL2005	5.80389738742959	39	41	0.308333639073947	1
GSM255222	GSE10099	GPL2005	2.89633712383149	16	36	0.293416635406554	1
GSM255224	GSE10099	GPL2005	4.30335415581031	24	31	0.275265443766072	1
GSM255226	GSE10099	GPL2005	3.78555642732519	12	29	0.279293000848918	1
GSM255230	GSE10099	GPL2005	3.14759814297324	10	33	0.323884894308251	1
GSM255231	GSE10099	GPL2005	4.0627797461243	16	28	0.319940147348039	1
GSM255234	GSE10099	GPL2005	7.8157359865065	13	36	0.293629760922329	1
GSM255237	GSE10099	GPL2005	3.76420620359648	14	41	0.29774593034076	1
GSM255238	GSE10099	GPL2005	2.74917146868507	25	42	0.287729160459056	1
GSM255239	GSE10099	GPL2005	3.88094769876605	12	40	0.30708918792968	1
GSM255241	GSE10099	GPL2005	2.71977477798982	13	44	0.320350931410633	1
GSM255245	GSE10099	GPL2005	2.73332116558943	25	24	0.314242756804487	1
GSM255249	GSE10099	GPL2005	4.30357945666694	14	25	0.333515657340694	1
GSM255252	GSE10099	GPL2005	4.7390292587584	36	50	0.26652877424088	1
GSM255267	GSE10099	GPL2005	5.78665639963025	22	35	0.355559246320121	1
GSM255268	GSE10099	GPL2005	4.05182363611816	7	30	0.343676697310097	1
GSM255273	GSE10099	GPL2005	2.54562444689009	15	65	0.326234245714731	1
GSM255277	GSE10099	GPL2005	3.66382749278367	40	66	0.302797199820006	1
GSM255280	GSE10099	GPL2005	3.82831472737231	20	24	0.34271004381915	1
GSM255281	GSE10099	GPL2005	6.36435159141201	20	40	0.272378373154746	1
GSM255282	GSE10099	GPL2005	2.0303201285835	5	28	0.278174011564106	1
GSM255289	GSE10099	GPL2005	3.88678002754208	27	48	0.338322903218228	1
